46503	274598	134618	7250	391931	68685	38447	18325	35474	3128	34457	11141	48993	189913	46331	15160	94451	53631	37161	51543	3990	139079	134573	17733	3074	22646	238186	34421	187420	183261	146254	396962	118604	15518	12095	83123	16972	104997	90054	2121	26691	19877	192848	100132	88203	4227	52289	17573	40121	117535	126495	96195	42036	52664	51444	212103	394033	21078	247874	625754	12656	16681	20205	44338	82170	7811	58084	9763	21621	269347	73713	53079	812923	316555	131817	214465	202744	63401	20392	36349	68471	23548	3943	84579	10145	162826	102049	8227	20333	28450	4953	67677	14881	10673	29487	32182	771153	9297	74767	5698	54760	21562	63756	38701	61254	18775	18784	15619	26087
328812	6604	35002	2142	4870	1957	9983	2557	3729	13188	9088	116470	2963	3795	37695	9379	5964	3976	7506	2751	2816	10151	7699	2798	16105	4113	3955	11814	3280	23839	2729	3010	41021	2360	2471	4230	125202	13249	7709	1410	2401	14205	17138	25532	3800	3670	2588	17231	6397	3079	18260	23897	2253	2271	14766	10891	28194	4354	13870	1855	5025	2624	19553	11245	14257	330831	6790	9066	42980	8836	21092	2625	17226	3716	23178	38740	14010	2488	5930	3178	7636	12356	5976	11388	5198	3368	12386	2740	5217	2635	10111	24505	2659	5266	2810	14718	4159	8801	3332	3833	4846	25970	3149	2898	4362	6043	3855	4120	10922
216851	453578	233851	145913	279133	150718	414762	225067	271312	157914	496963	238522	293570	516987	222763	140308	467648	154398	12222	429423	192728	277184	220138	196724	288044	262083	172568	272961	261980	427178	172376	267491	218915	131679	1354486	294908	136707	500044	494610	98651	98735	205184	418581	226176	126782	506918	74257	85963	115327	353763	208796	132157	403121	224782	436576	236224	119946	218419	336536	359904	210103	358569	177650	316908	300151	106191	651071	227025	147795	265357	621734	217257	192754	1423097	411850	233517	579384	259045	67685	346759	207689	203492	92829	65668	216560	275654	79295	122091	535284	141962	209066	278753	417393	145806	242915	387229	217190	217729	165390	117041	732763	33570	33356	129065	53490	341465	121151	248926	432932
2929491	120506	82530	39834	293413	23030	105310	195333	72086	113929	123768	31947	185744	226287	89903	22406	457487	55262	2441	56141	181263	43888	35206	33369	117667	162260	65120	61856	16668	263517	45669	222569	29786	80978	75867	110859	71589	241511	103913	76904	57021	36841	83546	75897	53003	376534	17921	23857	30942	263827	242064	46645	46809	38484	268357	70542	44727	122761	371053	166873	83102	581416	67530	168196	145007	31777	174651	89416	45897	144719	595059	81920	25826	88481	197382	153785	89679	84635	48282	108652	88334	34845	20313	55473	67901	82536	59908	62900	92267	59454	135123	83094	162429	92907	65405	67806	28171	77223	196348	63439	61797	8293	8726	33675	30488	49691	36987	45652	134648
2929493	416083	30418	23069	136129	11298	123318	129320	68829	21548	150406	101192	44599	122986	334322	14608	125770	71826	1512	38681	253491	55856	19662	29739	93015	63168	72046	47478	277036	99934	24311	44146	30281	38771	352520	216265	45459	94114	113854	28546	28013	30364	45683	27558	28355	75575	8324	22794	18840	110381	92045	17703	32852	19241	76037	129157	13526	32877	167539	61751	102050	164674	53391	50307	223826	42766	106269	99798	174100	172077	169751	79694	19152	75248	294352	259569	48745	163622	108434	67301	98655	22046	207146	31743	64604	71885	37897	29033	67444	80892	109572	64082	76357	27857	22766	40764	30240	87814	71424	19163	107098	8550	4096	124992	31671	26465	33014	41408	93635
2929494	186156	64795	46174	47284	10003	87370	62582	54666	95843	102210	58145	77465	147264	163800	51489	233327	40552	7039	153669	137864	189792	41257	43125	70654	123011	31584	91403	23055	270596	78314	119083	105815	35253	264144	183123	41590	91439	139138	23577	19502	62986	171171	66825	97376	200555	100629	17256	16609	122423	235048	39483	134277	37285	195084	58715	139152	77637	118334	247523	71190	129182	79258	254502	202471	13939	95074	40739	69134	68604	214184	129449	40892	546727	269019	164734	89441	83985	27909	156654	40986	70056	45183	32719	116832	109688	37107	27537	608683	53490	140547	107600	305292	28480	65917	159084	103705	36385	216778	62115	354355	6823	12650	138500	49730	87600	63495	57467	200974
2929492	159417	66117	38769	29506	9940	84650	56211	41585	39383	99375	35752	64569	123210	145529	45317	221933	34587	3098	125793	68980	165169	34857	38501	49900	83881	27769	77249	19289	242543	72789	100891	93303	29498	243176	107236	39284	92638	139154	25141	19424	59755	136643	67373	41524	177427	95035	18717	15445	125662	112857	40694	110822	31971	191100	52376	125234	58026	93043	100273	66566	112905	64071	118328	186924	10849	79138	39139	66265	63590	205513	84992	29761	463641	247710	144008	73121	74839	21332	81027	38067	58137	34240	27329	102535	95358	30748	23185	530204	41256	129295	98660	156166	25954	55429	148308	75159	34273	80473	52476	328709	6903	10028	181221	31066	80562	33398	47147	196357
1160721	115187	246568	10603	124296	1857	25529	45462	2473	9601	13598	2629	148714	84772	70586	42113	54825	10390	405	7586	15754	2489	4686	2110	61710	14892	6922	3535	7202	9207	9249	5863	457537	6599	1283	3280	12485	9237	687745	39807	344890	3748	48469	265207	8624	2168	823	941	1164	77408	3804	168989	8521	2919	180027	453741	3946	8157	168462	110483	11678	295977	8812	61924	12111	3417	53434	8464	4130	12623	74925	6998	2921	88300	18995	1129638	14537	6796	5022	3900	8218	3076141	7335	5018	132174	11411	3515	5865	43327	1926	70269	172744	4969	113904	52384	35501	21980	8314	3318	4684	204324	2770	1868	26346	2030	324275	2371	13824	224928
2831966	7331	9883	104769	1630	8872	10835	6653	6812	1121	12022	8294	11437	11142	9473	14191	9158	181281	297	3772	73528	8946	4895	6799	20133	4744	382299	4395	5709	52878	5500525	6229	13392	6468	1296	3847	15227	14752	19268	3128	584119	105855	7475	9145	4224	3615	10416	9700	1684	877528	5477	7648	3191	3985	704670	341578	15875	91206	8061	107271	19550	4644	4231	97215	8927	332745	22960	654797	21713	223917	300706	212612	4924	16216	13153	37409	7430	18726	4866	3880	534377	723436	4875	2013	2443	96118	2190	19639	1466	2916	19507	29873	26846	392458	21325	181211	6451	673752	2931	54612	42954	7015	951	351779	100106	11390	5446	7735	1120373
2564099	1596	1942	1622	798	1307	1416	949	1776	920	1515	192256	1356	2450	2299	1350	2077	2113	357	1025	1318	1396	928	1057	2369	94880	3507	1577	1495	15548	2723	2182	24851	1855	418	957	2647	1970	4300	492	3853	1149	1205	1918	1477	88605	2963	1176	556	6799	1073	1350	868	1785	1326	3024	1893	3127	1925	12296	1975	1247	1275	2096	1991	22827	3071	1500	2171	1088432	16504	1819	958	3519	2898	5560	1903	2539	2849	978	382312	2179	4816	722	422	48989	935	9438	404	498	18824	2096	2037	1449	3410	1828	2497	1499	1588	945	12867	760	351	1746	476	1789	984	3656	1743
